Nom,Lien Profil,Image,Traits,Tags,Anime Associé,Manga Associé
Benimaru,https://www.anime-planet.com/characters/benimaru-tensei-shitara-slime-datta-ken-light-novel,https://cdn.anime-planet.com/characters/primary/benimaru-tensei-shitara-slime-datta-ken-light-novel-1-190x266.jpg?t=1625997502,"Male, Red Hair","Elemental Powers, Face Markings, Fire Powers, Honorable Fighter, Horns, Magic User, Monster, Sword Fighter",Genjitsu no Rimuru: Sunshine in the Slime,Tenchura! Tensei Shitara Slime Datta Ken
Saitama,https://www.anime-planet.com/characters/saitama,https://cdn.anime-planet.com/characters/primary/saitama-1-190x291.jpg?t=1625980776,Male,"Adult, Bald, Cape, Gloves, Superpowers",Go! Saitama,One-Punch Man
Taiga AISAKA,https://www.anime-planet.com/characters/taiga-aisaka,https://cdn.anime-planet.com/characters/primary/taiga-aisaka-1-190x266.jpg?t=1625965237,"Female, Brown Hair","High School Student, Hot-Headed, Teenager, Tsundere",Eromanga Sensei,Toradora!
Armin ARLELT,https://www.anime-planet.com/characters/armin-arlelt,https://cdn.anime-planet.com/characters/primary/armin-arlelt-1-190x266.jpg?t=1625972789,"Male, Blonde Hair","Analytical, Military, Orphan, Sword Fighter",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Goku SON,https://www.anime-planet.com/characters/goku-son,https://cdn.anime-planet.com/characters/primary/goku-son-1-190x266.jpg?t=1625966027,"Male, Black Hair","Anti-Gravity Hair, Big Eater, Eternal Optimist, Honorable Fighter, Martial Artist, Muscular, Teleportation Powers",Dragon Ball,Cross Epoch
Ranga,https://www.anime-planet.com/characters/ranga-tensei-shitara-slime-datta-ken-light-novel,https://cdn.anime-planet.com/characters/primary/ranga-tensei-shitara-slime-datta-ken-light-novel-1-190x266.jpg?t=1625997495,"Male, Multicolored Hair","Darkness Powers, Elemental Powers, Horns, Monster, Wolf",Genjitsu no Rimuru: Sunshine in the Slime,Tenchura! Tensei Shitara Slime Datta Ken
Ken KANEKI,https://www.anime-planet.com/characters/ken-kaneki,https://cdn.anime-planet.com/characters/primary/ken-kaneki-1-190x297.jpg?t=1625989959,Male,"Bookworm, Exotic Eyes, Eye Patch, Monster, Orphan, Teenager",Tokyo Ghoul,Tokyo Ghoul
Maes HUGHES,https://www.anime-planet.com/characters/maes-hughes,https://cdn.anime-planet.com/characters/primary/maes-hughes-1-190x266.jpg?t=1625965985,"Male, Black Hair","Adult, Facial Hair, Glasses, Knife Fighter, Military",Fullmetal Alchemist,Fullmetal Alchemist
Kisuke URAHARA,https://www.anime-planet.com/characters/kisuke-urahara,https://cdn.anime-planet.com/characters/primary/kisuke-urahara-1-190x266.jpg?t=1625965492,"Male, Blonde Hair","Agent of the Afterlife, Hat, Inventor, Merchant, Scientist, Shinigami, Sword Fighter",Bleach,Bleach
Katsuki BAKUGO,https://www.anime-planet.com/characters/katsuki-bakugo,https://cdn.anime-planet.com/characters/primary/katsuki-bakugo-1-190x285.jpg?t=1625992612,"Male, Blonde Hair","Big Ego, Bloodthirsty, Bully, High School Student, Hot-Headed, Selfish, Superpowers, Teenager",My Hero Academia,Deku and Bakugo Rising
Kanade TACHIBANA,https://www.anime-planet.com/characters/kanade-tachibana,https://cdn.anime-planet.com/characters/primary/kanade-tachibana-1-285x399.webp?t=1653444046,"Female, White Hair","Arm Blades, Kuudere, Stoic, Student Council",Angel Beats!,Angel Beats! Heaven's Door
Takumi USUI,https://www.anime-planet.com/characters/takumi-usui,https://cdn.anime-planet.com/characters/primary/takumi-usui-1-190x266.jpg?t=1625967603,"Male, Blonde Hair","Charismatic, Cook, High School Student, Martial Artist, Mischievous, Musician, Part Time Employee, Stoic, Teenager, Violinist, Wealthy",Maid-sama!,Kaichou wa Maid-sama! Marriage
Happy,https://www.anime-planet.com/characters/happy,https://cdn.anime-planet.com/characters/primary/happy-1-190x285.jpg?t=1625965749,"Male, Multicolored Hair","Animal, Anthropomorphic, Big Eater, Cat, Magic User, Wings",Fairy Tail,Fairy Tail
Hange ZOE,https://www.anime-planet.com/characters/hange-zoe,https://cdn.anime-planet.com/characters/primary/hange-zoe-1-190x266.jpg?t=1625980889,Brown Hair,"Adult, Glasses, Goggles, Hyperactive, Military, Ponytail, Scientist, Sword Fighter",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Haruhi FUJIOKA,https://www.anime-planet.com/characters/haruhi-fujioka,https://cdn.anime-planet.com/characters/primary/haruhi-fujioka-1-190x266.jpg?t=1625965235,"Female, Brown Hair","Analytical, Crossdresser, High School Student, Host, Teenager",Ouran High School Host Club,Ouran High School Host Club
C.C.,https://www.anime-planet.com/characters/cc,https://cdn.anime-planet.com/characters/primary/cc-1-190x266.jpg?t=1625965656,"Female, Green Hair","Big Eater, Immortal, Mecha Pilot, Terrorist",Code Geass: Akito the Exiled,Barcode Geass: Hanbai no Lelouch
Hikaru HITACHIIN,https://www.anime-planet.com/characters/hikaru-hitachiin,https://cdn.anime-planet.com/characters/primary/hikaru-hitachiin-1-190x266.jpg?t=1625965234,"Male, Orange Hair","High School Student, Host, Mischievous, Teenager, Twin, Wealthy",Ouran High School Host Club,Ouran High School Host Club
Lucy HEARTFILIA,https://www.anime-planet.com/characters/lucy-heartfilia,https://cdn.anime-planet.com/characters/primary/lucy-heartfilia-1-190x266.jpg?t=1625965749,"Female, Blonde Hair","Bookworm, Magic User, Summoners, Writer",Fairy Tail,Fairy Girls
Tamaki SUOH,https://www.anime-planet.com/characters/tamaki-suoh,https://cdn.anime-planet.com/characters/primary/tamaki-suoh-1-190x266.jpg?t=1625965196,"Male, Blonde Hair","Club President, Flamboyant, Flirt, Foreigner, High School Student, Host, Musician, Pianist, Teenager, Wealthy",Ouran High School Host Club,Ouran High School Host Club
Giyuu TOMIOKA,https://www.anime-planet.com/characters/giyuu-tomioka,https://cdn.anime-planet.com/characters/primary/giyuu-tomioka-1-190x266.jpg?t=1626009923,"Male, Black Hair","Adult, Demon Hunter, Ponytail, Stoic, Sword Fighter",Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba
Ciel PHANTOMHIVE,https://www.anime-planet.com/characters/ciel-phantomhive,https://cdn.anime-planet.com/characters/primary/ciel-phantomhive-1-190x266.jpg?t=1625966235,"Male, Black Hair","Company President, Exotic Eyes, Eye Patch, Nobility, Orphan, Piercings, Teenager, Vengeful, Wealthy",Black Butler,Black Butler
Kaoru HITACHIIN,https://www.anime-planet.com/characters/kaoru-hitachiin,https://cdn.anime-planet.com/characters/primary/kaoru-hitachiin-1-190x266.jpg?t=1625965234,"Male, Orange Hair","High School Student, Host, Mischievous, Teenager, Twin, Wealthy",Ouran High School Host Club,Ouran High School Host Club
Lucy,https://www.anime-planet.com/characters/lucy,https://cdn.anime-planet.com/characters/primary/lucy-1-190x266.jpg?t=1625965977,"Female, Pink Hair","Blinding Bangs, Frequently-Naked, Horns, Ruthless, Split Personality, Teenager",Elfen Lied,Elfen Lied
Yato,https://www.anime-planet.com/characters/yato-noragami,https://cdn.anime-planet.com/characters/primary/yato-noragami-1-190x266.jpg?t=1625990599,"Male, Purple Hair","Bandana, Deity, Exorcist, Immortal, Mercenary, Sword Fighter",Noragami,Noragami: Awase Kagami
Sanji,https://www.anime-planet.com/characters/sanji,https://cdn.anime-planet.com/characters/primary/sanji-1-190x266.jpg?t=1625965217,"Male, Blonde Hair","Blinding Bangs, Cook, Epic Eyebrows, Facial Hair, Flirt, Pervert, Pirate, Sailor, Smoker",ARASHI: A-RA-SHI : Reborn,Cross Epoch
Milim NAVA,https://www.anime-planet.com/characters/milim-nava,https://cdn.anime-planet.com/characters/primary/milim-nava-1-190x266.jpg?t=1625997628,"Female, Pink Hair","Big Ego, Demon, Dragon, Hair Antenna, Half-Breed, Magic User, Pigtails, Prehensile Hair, Scantily-clad",That Time I Got Reincarnated as a Slime,That Time I Got Reincarnated as a Slime
Kyo SOHMA,https://www.anime-planet.com/characters/kyo-sohma,https://cdn.anime-planet.com/characters/primary/kyo-sohma-1-190x266.jpg?t=1625966015,"Male, Orange Hair","Cursebearer, High School Student, Hot-Headed, Martial Artist, Teenager, Transfer Student, Tsundere",Fruits Basket,Fruits Basket
Yuji ITADORI,https://www.anime-planet.com/characters/yuji-itadori,https://cdn.anime-planet.com/characters/primary/yuji-itadori-1-285x399.webp?t=1628954991,"Male, Pink Hair","Airhead, Cursebearer, Exorcist, Shared Body, Teenager",Eve: Kaikai Kitan,Jujutsu Kaisen
Soul EVANS,https://www.anime-planet.com/characters/soul-evans,https://cdn.anime-planet.com/characters/primary/soul-evans-1-190x266.jpg?t=1625965243,"Male, White Hair","Headband, Musician, Pianist, Shapeshifter, Sharp Teeth, Teenager",Soul Eater,Soul Eater
Winry ROCKBELL,https://www.anime-planet.com/characters/winry-rockbell,https://cdn.anime-planet.com/characters/primary/winry-rockbell-1-190x266.jpg?t=1625965983,"Female, Blonde Hair","Hot-Headed, Mechanic, Orphan, Piercings, Ponytail, Teenager",Fullmetal Alchemist,Fullmetal Alchemist
Shion,https://www.anime-planet.com/characters/shion-that-time-i-got-reincarnated-as-a-slime,https://cdn.anime-planet.com/characters/primary/shion-that-time-i-got-reincarnated-as-a-slime-1-285x399.webp?t=1728044038,"Female, Purple Hair","Deadly Chef, Horns, Magic User, Monster, Ponytail",Genjitsu no Rimuru: Sunshine in the Slime,Tenchura! Tensei Shitara Slime Datta Ken
Kenpachi ZARAKI,https://www.anime-planet.com/characters/kenpachi-zaraki,https://cdn.anime-planet.com/characters/primary/kenpachi-zaraki-1-190x266.jpg?t=1625965231,"Male, Black Hair","Agent of the Afterlife, Anti-Gravity Hair, Bloodthirsty, Eye Patch, Muscular, No Eyebrows, No Sense of Direction, Scar, Shinigami, Sword Fighter",Bleach,Bleach
Alucard,https://www.anime-planet.com/characters/alucard,https://cdn.anime-planet.com/characters/primary/alucard-1-190x266.jpg?t=1625965336,"Male, Black Hair","Bloodthirsty, Darkness Powers, Elemental Powers, Gloves, Gunslinger, Hat, Immortal, Prehensile Hair, Sadistic, Sunglasses, Teleportation Powers, Vampire, Vampire Hunter",Hellsing,Hellsing
Sasha BRAUS,https://www.anime-planet.com/characters/sasha-braus,https://cdn.anime-planet.com/characters/primary/sasha-braus-1-190x266.jpg?t=1625972798,"Female, Brown Hair","Airhead, Big Eater, Military, Ponytail, Sword Fighter",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Gon FREECSS,https://www.anime-planet.com/characters/gon-freecss,https://cdn.anime-planet.com/characters/primary/gon-freecss-1-190x266.jpg?t=1625966241,"Male, Black Hair","Anti-Gravity Hair, Charismatic, Child, Eternal Optimist, Unconventional Weapon",Hunter x Hunter,Hunter x Hunter
Ash's Pikachu,https://www.anime-planet.com/characters/ashs-pikachu,https://cdn.anime-planet.com/characters/primary/ashs-pikachu-1-190x260.jpg?t=1625966716,"Male, Multicolored Hair","Bossy, Elemental Powers, Lightning Powers, Mischievous, Pokemon, Rosy Cheeks, Tail","Arceus, the One Called God",Gekijouban Pocket Monster Advanced Generation: Nanayo no Negaiboshi Jirachi
Riza HAWKEYE,https://www.anime-planet.com/characters/riza-hawkeye,https://cdn.anime-planet.com/characters/primary/riza-hawkeye-1-190x266.jpg?t=1625965985,"Female, Blonde Hair","Adult, Gunslinger, Hair Buns, Military, Sniper",Fullmetal Alchemist,Fullmetal Alchemist
Shoyo HINATA,https://www.anime-planet.com/characters/shoyo-hinata,https://cdn.anime-planet.com/characters/primary/shoyo-hinata-1-190x267.jpg?t=1625990149,"Male, Orange Hair","Airhead, Athlete, High School Student, Hot-Headed, Teenager, Volleyball Player",Haikyuu!!,Haikyuu!!
Rock Lee,https://www.anime-planet.com/characters/rock-lee,https://cdn.anime-planet.com/characters/primary/rock-lee-1-285x399.webp?t=1725332239,"Male, Black Hair","Bandages, Bowl Cut, Epic Eyebrows, Eternal Optimist, Honorable Fighter, Ninja",Boruto: Naruto Next Generations,Boruto
Misaki AYUZAWA,https://www.anime-planet.com/characters/misaki-ayuzawa,https://cdn.anime-planet.com/characters/primary/misaki-ayuzawa-1-190x266.jpg?t=1625967601,"Female, Black Hair","High School Student, Maid, Part Time Employee, Poor, Student Council, Teenager, Tsundere, Waiter",Maid-sama!,Kaichou wa Maid-sama! Marriage
Hua Cheng,https://www.anime-planet.com/characters/hua-cheng,https://cdn.anime-planet.com/characters/primary/hua-cheng-1-285x399.webp?t=1703765900,"Male, Black Hair","Artist, Demon King, Gay, Ghost, LGBT+, Mischievous, Seme, Shapeshifter, Sword Fighter, Tattoo, Wealthy",Heaven Official's Blessing,Heaven Official's Blessing
Rukia KUCHIKI,https://www.anime-planet.com/characters/rukia-kuchiki,https://cdn.anime-planet.com/characters/primary/rukia-kuchiki-1-190x267.jpg?t=1625965225,"Female, Black Hair","Agent of the Afterlife, Elemental Powers, Ice Powers, Nobility, Shinigami, Sword Fighter",Bleach,Bleach
Howl,https://www.anime-planet.com/characters/howl,https://cdn.anime-planet.com/characters/primary/howl-1-190x266.jpg?t=1625965924,"Male, Multicolored Hair","Adult, Flamboyant, Magic User, Pacifist, Piercings, Secret Identity, Shapeshifter, Traveler",Howl's Moving Castle,Howl's Moving Castle
Minato NAMIKAZE,https://www.anime-planet.com/characters/minato-namikaze,https://cdn.anime-planet.com/characters/primary/minato-namikaze-1-130x194.jpg?t=1625965459,"Male, Blonde Hair","Adult, Beastmaster, Headband, Ninja, Teleportation Powers",Naruto: Hidden Leaf Village Grand Sports Festival!,Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi
Yuno GASAI,https://www.anime-planet.com/characters/yuno-gasai,https://cdn.anime-planet.com/characters/primary/yuno-gasai-1-190x266.jpg?t=1625968559,"Female, Pink Hair","Analytical, Broken Record, Hair Ribbons, Middle School Student, Pigtails, Ruthless, Stalker, Superpowers, Teenager",Future Diary,Future Diary
Kyoujurou RENGOKU,https://www.anime-planet.com/characters/kyoujurou-rengoku,https://cdn.anime-planet.com/characters/primary/kyoujurou-rengoku-1-190x266.jpg?t=1626010556,"Male, Multicolored Hair","Adult, Big Eater, Cape, Demon Hunter, Epic Eyebrows, Fire Powers, Flamboyant, Sword Fighter",Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba
Toshiro HITSUGAYA,https://www.anime-planet.com/characters/toshiro-hitsugaya,https://cdn.anime-planet.com/characters/primary/toshiro-hitsugaya-1-190x266.jpg?t=1625965230,"Male, White Hair","Agent of the Afterlife, Elemental Powers, Ice Powers, Shinigami, Sword Fighter",Bleach,Bleach
Misa AMANE,https://www.anime-planet.com/characters/misa-amane,https://cdn.anime-planet.com/characters/primary/misa-amane-1-190x266.jpg?t=1625965725,"Female, Blonde Hair","Hyperactive, Idol, Pigtails",Death Note,Death Note
Xie Lian,https://www.anime-planet.com/characters/xie-lian,https://cdn.anime-planet.com/characters/primary/xie-lian-1-285x399.webp?t=1693232396,Male,"Bandages, Cultivator, Cursebearer, Deadly Chef, Deity, Gay, Honorable Fighter, Immortal, LGBT+, Martial Artist, Poor, Rapunzel Hair, Royalty, Sword Fighter, Topknot, Uke",Heaven Official's Blessing,Heaven Official's Blessing
Vegeta,https://www.anime-planet.com/characters/vegeta,https://cdn.anime-planet.com/characters/primary/vegeta-1-190x266.jpg?t=1625966045,"Male, Black Hair","Adult, Alien, Anti-Gravity Hair, Armor, Big Ego, Bloodthirsty, Hot-Headed, Muscular, Racial Purist, Royalty, Warrior",Dragon Ball Daima,Cross Epoch
Hisoka MOROW,https://www.anime-planet.com/characters/hisoka-morow,https://cdn.anime-planet.com/characters/primary/hisoka-morow-1-190x266.jpg?t=1625966241,Male,"Big Ego, Bloodthirsty, Pervert, Ruthless, Sadistic",Hunter x Hunter,Hunter x Hunter
